variant,soc_enabled,soc_threshold,soc_neighbor_coupling,soc_align_relax,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_topple_steps,soc_topple_events_total,soc_topple_size_mean,soc_branch_ratio
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,11,0.3515625,0.0,0.547845793211636,4.660644369982881,198.99999999999983,12.5,596.0,4765.0,7.99496644295302,1.0358542554550958
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,12,0.375,0.0,0.5147138996986562,1.4391353801250264,166.67556661339722,12.5,586.0,4292.0,7.324232081911263,1.058524915674237
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,10,0.328125,0.0,0.47715341882232243,6.854956876573469,161.4913344918294,17.5,593.0,4325.0,7.293423271500843,1.072665697564111
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,13,0.28125,0.0,0.5003979300374602,5.041265297958524,198.99999999999983,12.5,594.0,4466.0,7.518518518518518,1.0595785757653757
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,14,0.34375,0.0078125,1.2488741622670587,4.668856080038648,198.99999999999983,12.5,594.0,4965.0,8.358585858585858,1.0539596162670315
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,15,0.34375,0.015625,0.6687933259410279,6.025557678621941,198.99999999999983,22.5,593.0,4239.0,7.148397976391231,1.0707632944450862
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,16,0.2421875,0.0,0.7457708359319413,4.061861387982033,198.99999999999983,12.5,593.0,5747.0,9.691399662731872,1.0532913695987671
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,18,0.3984375,0.0,0.5849508069346911,1.5670554968330856,198.99999999999983,17.5,586.0,4470.0,7.6279863481228665,1.0597593777155627
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,17,0.375,0.0,0.47261583448799827,2.5749994825452336,198.99999999999983,12.5,597.0,4910.0,8.224455611390285,1.0512309490825347
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,19,0.34375,0.015625,1.0297153243815926,6.446375275211927,198.99999999999983,22.5,598.0,4788.0,8.006688963210703,1.0351578877382193
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,21,0.4375,0.0,0.6655647658610987,4.38907502393646,198.99999999999983,17.5,585.0,3379.0,5.776068376068376,1.0902251801828755
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,20,0.25,0.0078125,0.0869191101953121,4.274233214561375,198.99999999999983,17.5,566.0,3064.0,5.413427561837456,1.1396882994384294
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,22,0.4140625,0.0,0.8754276092990593,2.245672373387613,198.99999999999983,12.5,583.0,3644.0,6.2504288164665525,1.1033628700025402
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,23,0.28125,0.0,0.6820890702931837,5.664805134621518,198.99999999999983,17.5,599.0,4697.0,7.841402337228715,1.0490336308780401
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,24,0.3515625,0.0078125,0.2777356772580501,4.034270588549171,198.99999999999983,12.5,587.0,4314.0,7.349233390119251,1.0583924069243942
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,26,0.390625,0.0,0.8645657516959006,3.9381676780001453,179.6072463598355,12.5,583.0,3816.0,6.545454545454546,1.0712222774305855
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,25,0.328125,0.0078125,0.4094971033104505,5.119454148732805,198.99999999999983,7.5,593.0,4038.0,6.809443507588533,1.0962532511661138
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.3,0,0.3046875,0.1953125,1.2608819916739906,0.8652178585194318,198.99999999999983,17.5,558.0,3319.0,5.948028673835125,1.085237537072472
