variant,speed_ratio,n,safe_mean,safe_ci95,captured_mean,chi_mean,chi_local_mean,tau_mean,xi_mean,topple_steps_mean,topple_events_mean,topple_size_mean,branch_ratio_mean,branch_gap_abs
soc_th030_cp022_rx003,1.1,30,0.3653645833333333,0.015877328117857768,0.00546875,1.1880548878068893,3.7131418997454935,196.2761722809504,15.0,581.4333333333333,3577.3333333333335,6.13768524914455,1.0703375135307411,0.07033751353074114
soc_th030_cp022_rx003,1.3,30,0.3380208333333333,0.017357272372540547,0.20677083333333332,0.9374120662237956,2.0477345632157657,189.66101444528798,14.166666666666666,574.5666666666667,3258.3,5.658714763239922,1.0651052289698593,0.06510522896985926
soc_th036_cp010_rx000,1.1,30,0.3619791666666667,0.015388580154966336,0.004166666666666667,0.5481595662721528,4.53541049823916,188.01778191336987,12.416666666666666,552.3666666666667,1733.3666666666666,3.128283171184309,1.115854035514795,0.115854035514795
soc_th036_cp010_rx000,1.3,30,0.32473958333333336,0.015568790298278542,0.18802083333333333,0.5467528834407822,2.6388649545036924,189.71029026669797,11.083333333333334,566.3333333333334,1951.9666666666667,3.4378784410310717,1.0851025830022,0.08510258300220008
soc_th036_cp010_rx003,1.1,30,0.365625,0.016274927002060985,0.00546875,1.0746692239895155,2.60367074178677,194.36808004726555,15.5,552.0,1856.8,3.3517122045263874,1.1152493376161392,0.1152493376161392
soc_th036_cp010_rx003,1.3,30,0.3299479166666667,0.020487167250277733,0.20755208333333333,1.1209237775641177,2.382131042635051,194.4560272898571,15.0,558.5333333333333,1998.2666666666667,3.5576506065800393,1.0824375386923786,0.08243753869237858
soc_th036_cp022_rx000,1.1,30,0.3768229166666667,0.016720629347947023,0.004166666666666667,0.6036680230836992,4.727617170832678,194.12908036982233,11.5,581.0333333333333,3064.133333333333,5.265392255085498,1.0710603511317038,0.07106035113170384
soc_th036_cp022_rx000,1.3,30,0.33151041666666664,0.01719738276042807,0.19296875,0.6184955426613592,4.105698974301941,181.35287624494524,9.25,577.7666666666667,2922.2,5.050603312192752,1.0614552902127177,0.06145529021271767
soc_th036_cp022_rx003,1.1,30,0.36796875,0.01996303240955426,0.0049479166666666664,1.175802032047326,3.359091189349547,196.085766677436,13.666666666666666,580.0,3396.7,5.842286305137923,1.0677593414163218,0.06775934141632178
soc_th036_cp022_rx003,1.3,30,0.3346354166666667,0.014518980679031634,0.20390625,0.9669247183303918,2.653665571786182,180.93212486819485,14.416666666666666,570.7,3074.9666666666667,5.369290329023376,1.0643571565614733,0.06435715656147334
soc_th050_cp000_rx000_soft,1.1,30,0.3765625,0.015035424226839577,0.00390625,0.7277796372957864,4.0127782514116905,194.35788752223422,12.916666666666666,332.8666666666667,484.8,1.452774503811736,1.1429692640556277,0.1429692640556277
soc_th050_cp000_rx000_soft,1.3,30,0.3346354166666667,0.015419198422318503,0.20703125,0.8062660218428985,3.1420979631787294,191.35224003442192,12.916666666666666,451.2,777.1,1.7107224681182667,1.1605996418623312,0.16059964186233122
soc_th050_cp005_rx000_soft,1.1,30,0.36432291666666666,0.013447357412002548,0.004427083333333333,0.8093203186582886,3.743093136137616,194.94715045851936,12.5,325.6666666666667,513.2333333333333,1.5673947819760339,1.15609076742209,0.15609076742208994
soc_th050_cp005_rx000_soft,1.3,30,0.34765625,0.02133858285091792,0.19479166666666667,0.8018596247540183,3.2385987279257895,195.66025418031037,11.333333333333334,439.5,797.6,1.8020598399038954,1.1487468057471757,0.1487468057471757
soc_th060_cp005_rx000_soft,1.1,30,0.3625,0.015601934124317415,0.007291666666666667,1.0109880701358396,4.030556854191662,198.52817380652087,13.083333333333334,276.1,418.23333333333335,1.5053389412911067,1.1413778901255944,0.14137789012559443
soc_th060_cp005_rx000_soft,1.3,30,0.33958333333333335,0.01995470542999552,0.18359375,1.1355779199995837,2.8166845483810947,196.48553731808587,16.0,398.7,673.5,1.6769217841680064,1.1363861887185045,0.1363861887185045
