variant,speed_ratio,seed,safe_frac,soc_branch_ratio,soc_topple_steps,avalanche_count,avalanche_size_mean,avalanche_size_p95,avalanche_duration_mean,activity_beta
soc_low_activity,1.1,4,0.4453125,1.0761904761904761,106.0,65,1.9384615384615385,5.799999999999997,1.6307692307692307,0.7611043678725246
soc_low_activity,1.1,5,0.375,1.0883620689655173,117.0,80,1.7625,4.049999999999997,1.4625,0.76306106267242
soc_low_activity,1.1,6,0.359375,1.065217391304348,162.0,107,1.7757009345794392,4.0,1.514018691588785,0.6737726942063683
soc_low_activity,1.1,7,0.375,1.0723514211886302,130.0,88,1.7613636363636365,4.0,1.4772727272727273,0.9072559530670617
soc_low_activity,1.1,8,0.3046875,1.0510204081632653,99.0,83,1.3493975903614457,2.8999999999999915,1.1927710843373494,0.5682197041963261
soc_low_activity,1.1,9,0.4765625,1.0794025157232703,107.0,86,1.6162790697674418,2.75,1.244186046511628,1.0003432399817918
soc_low_activity,1.1,10,0.265625,1.0681265206812651,138.0,99,1.6262626262626263,4.0,1.393939393939394,0.4857375691065941
soc_low_activity,1.1,11,0.375,1.0432098765432098,136.0,109,1.3577981651376148,3.0,1.2477064220183487,0.6237832980093435
soc_low_activity,1.1,12,0.375,1.0363636363636364,111.0,94,1.2765957446808511,2.0,1.1808510638297873,0.46252583521008395
soc_low_activity,1.1,13,0.3671875,1.0462962962962963,127.0,98,1.4081632653061225,3.0,1.2959183673469388,0.5487565370414608
soc_low_activity,1.1,14,0.421875,1.0686274509803921,137.0,107,1.4672897196261683,3.0,1.280373831775701,0.7454139562908962
soc_low_activity,1.1,15,0.4921875,1.0329457364341086,87.0,69,1.3333333333333333,3.0,1.2608695652173914,0.533038404559546
soc_low_activity,1.1,16,0.265625,1.0752314814814816,145.0,103,1.6601941747572815,3.8999999999999915,1.4077669902912622,0.6482861832646262
soc_low_activity,1.1,17,0.3203125,1.0979166666666669,161.0,108,1.8888888888888888,4.0,1.4907407407407407,0.8564248011798659
soc_low_activity,1.1,18,0.3671875,1.0608695652173914,116.0,81,1.654320987654321,4.0,1.4320987654320987,0.6756085423024182
soc_low_activity,1.1,19,0.3125,1.0880503144654088,160.0,122,1.6147540983606556,4.0,1.3114754098360655,0.5720959565709611
soc_low_activity,1.3,0,0.359375,1.1289617486338797,306.0,115,3.608695652173913,12.599999999999994,2.6608695652173915,1.0516281332081232
soc_low_activity,1.3,1,0.40625,1.1069295101553167,280.0,132,2.8106060606060606,10.0,2.121212121212121,0.9989558703783968
soc_low_activity,1.3,2,0.3984375,1.134858044164038,318.0,136,3.2058823529411766,11.0,2.338235294117647,0.7984711571848901
soc_low_activity,1.3,3,0.28125,1.126775147928994,339.0,133,3.774436090225564,13.799999999999983,2.5488721804511276,1.0306077624054848
soc_low_activity,1.3,4,0.328125,1.0485185185185184,226.0,131,1.916030534351145,4.0,1.7251908396946565,0.7727579631340618
soc_low_activity,1.3,5,0.25,1.1278447121820618,250.0,114,2.991228070175439,9.699999999999989,2.192982456140351,1.0183085655272937
soc_low_activity,1.3,6,0.3046875,1.0837696335078535,192.0,105,2.2666666666666666,6.599999999999994,1.8285714285714285,1.1985166006345123
soc_low_activity,1.3,7,0.3125,1.1688634192932188,350.0,113,4.566371681415929,20.799999999999983,3.0973451327433628,1.0072316992448753
