variant,gain,seed,safe_frac,chi,chi_local,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,0.0,28,0.3359375,0.3797900026555852,1.7828833705519898,0.0,0.0
baseline,0.0,29,0.328125,1.2085808174182138,0.23170749376568747,0.0,0.0
baseline,0.0,30,0.3125,2.3499890649175548,1.1786418266208347,0.0,0.0
baseline,0.0,31,0.3046875,1.8062627643535796,2.4756213589189144,0.0,0.0
baseline,0.0,32,0.328125,6.78592498145865,3.4000479610635668,0.0,0.0
baseline,0.0,33,0.3984375,0.7784938780646329,0.7563802686243262,0.0,0.0
baseline,0.0,34,0.40625,1.2057122009799606,0.28512746950409357,0.0,0.0
baseline,0.0,36,0.3203125,0.21190280725818578,0.42011977130977973,0.0,0.0
baseline,0.0,35,0.2734375,3.5254186921509842,3.1215222656751838,0.0,0.0
baseline,0.0,37,0.3984375,0.9569492538675769,1.280292649421868e-07,0.0,0.0
baseline,0.0,38,0.40625,5.533812249467212,0.00012114275308128411,0.0,0.0
baseline,0.0,39,0.375,1.1115502124214307,4.5153058496202965,0.0,0.0
baseline,0.0,40,0.3125,1.75738379718344,0.03970876295392577,0.0,0.0
baseline,0.0,41,0.2578125,0.8830760914306779,3.7115361778726705,0.0,0.0
baseline,0.0,45,0.28125,3.0790218991375617,1.6390486356252365,0.0,0.0
baseline,0.0,43,0.3828125,6.083125025292995,0.002378835333012123,0.0,0.0
baseline,0.0,44,0.328125,0.9517282728972399,2.991210784894965,0.0,0.0
baseline,0.0,42,0.3671875,1.4584163260633116,3.5521491175999547,0.0,0.0
baseline,0.0,46,0.3515625,0.20663278611503574,3.959761723831189,0.0,0.0
baseline,0.0,47,0.34375,1.9740139455703547,0.0022332881003466866,0.0,0.0
baseline,0.0,48,0.359375,2.1294879037781387,1.1277500330544095,0.0,0.0
baseline,0.0,49,0.3828125,0.45059149937987397,3.980005323374469,0.0,0.0
baseline,0.0,52,0.3515625,0.6144099568441883,2.565269800602291,0.0,0.0
baseline,0.0,50,0.3515625,0.4400322179724898,5.751651147711892,0.0,0.0
baseline,0.0,51,0.2734375,1.1298389479445934,3.3764578313563813,0.0,0.0
baseline,0.0,53,0.28125,1.2551456448008298,0.17836343646653863,0.0,0.0
baseline,0.0,54,0.2578125,1.9708951964110304,0.4899207831950321,0.0,0.0
baseline,0.0,55,0.3984375,1.0411995644186083,0.2609965150243279,0.0,0.0
baseline,0.0,57,0.2734375,0.1108602029072074,1.9668995439038415,0.0,0.0
baseline,0.0,56,0.3359375,1.0833663307593542,0.114625232418681,0.0,0.0
baseline,0.0,59,0.359375,1.850106615603061,0.4908367673038245,0.0,0.0
baseline,0.0,60,0.359375,0.4335089082058453,0.22475975713861526,0.0,0.0
baseline,0.0,58,0.40625,0.39961129217759933,1.5656066673792441,0.0,0.0
baseline,0.0,61,0.3671875,0.5321340925612026,0.19752929922637305,0.0,0.0
baseline,0.0,62,0.1796875,0.8759953283638068,0.6513174281792912,0.0,0.0
baseline,0.0,63,0.359375,3.302072182804275,0.34132217711003215,0.0,0.0
baseline,0.0,64,0.3671875,0.52188461076778,2.2945685062306556,0.0,0.0
baseline,0.0,65,0.390625,2.1935362182558795,2.487711911793581,0.0,0.0
baseline,0.0,66,0.265625,0.3219644396332291,1.6585423575089366,0.0,0.0
baseline,0.0,68,0.3515625,1.7089568646431745,5.144004339422925,0.0,0.0
baseline,0.0,67,0.3046875,3.0400011359316297,0.18234178848777274,0.0,0.0
baseline,0.0,70,0.390625,2.972885077023599,0.01766894618651487,0.0,0.0
baseline,0.0,69,0.25,1.0469830204862651,4.582525303164259,0.0,0.0
baseline,0.0,71,0.3203125,2.5782758456299137,4.1837957650237065,0.0,0.0
baseline,0.0,72,0.4375,0.46795449809024425,0.0006243116245460098,0.0,0.0
baseline,0.0,73,0.359375,2.565595245841323,0.34417768348060823,0.0,0.0
baseline,0.0,74,0.328125,0.31716438019006976,0.8487088080807033,0.0,0.0
baseline,0.0,75,0.359375,2.077307552343847,1.243535915184737e-05,0.0,0.0
baseline,0.0,78,0.3203125,1.1709617304005364,0.0006174590516217044,0.0,0.0
baseline,0.0,77,0.375,0.36848314457580783,1.6905347873432077,0.0,0.0
baseline,0.0,76,0.28125,2.161355872251767,2.9095515184807055,0.0,0.0
