variant,speed_ratio,n,safe_mean,safe_ci95,captured_mean,chi_mean,chi_local_mean,tau_mean,xi_mean,branch_ratio_mean,topple_steps_mean,pred_entropy_var_mean,entropy_fluct_mean,delta_safe_vs_baseline,delta_pred_entropy_var_vs_baseline
soc_v3_eg02_th032,1.3,80,0.215625,0.01613271980905576,0.40361328125,3.77959720033821,0.14027870957537641,197.30023492797463,21.1875,1.246256965830677,553.725,0.04003072870400618,0.06841764841456913,-0.12353515625,0.04003072870400618
soc_v3_eg02_th032,1.4,80,0.1849609375,0.012971868637864791,0.546484375,4.6895710842460705,0.13164198695732066,198.2028225555611,22.0,1.2451871343555478,542.0125,0.04020231177579422,0.06682423118008761,-0.11611328125,0.04020231177579422
soc_v3_eg02_th036,1.0,80,0.25166015625,0.016907710559224652,0.03994140625,3.1269119373913172,0.31880802029065924,198.9999999999998,24.1875,1.2115919088707885,562.6875,0.04078600994249308,0.07261901507175703,-0.12753906250000002,0.04078600994249308
soc_v3_eg02_th036,1.1,80,0.23955078125,0.016809230115061875,0.1115234375,3.766403961663484,0.24462690350789268,197.95825487797458,23.4375,1.2031672214000886,561.9125,0.04062911838103376,0.07066392931705774,-0.14501953125,0.04062911838103376
soc_v3_eg02_th036,1.2,80,0.21904296875,0.015542026969516884,0.26923828125,3.7309065686553047,0.19375317381901164,197.86626829833926,25.0625,1.1982124079936138,559.6375,0.04005919086888706,0.06935032216537906,-0.1447265625,0.04005919086888706
soc_v3_eg02_th036,1.3,80,0.196484375,0.011951686901576481,0.43955078125,3.8408275947031654,0.18739335289539796,194.4603221522422,23.5625,1.1852335742724462,549.5625,0.0400235264046899,0.06778941850452712,-0.14267578125000002,0.0400235264046899
soc_v3_eg02_th036,1.4,80,0.15712890625,0.01395618434218626,0.5447265625,4.301865096637895,0.11232059725489481,197.7389960044154,22.625,1.1934249037240956,536.175,0.03993349446245652,0.06648308590259751,-0.1439453125,0.03993349446245652
soc_v3_eg06_th028,1.0,80,0.37548828125,0.01669495391862829,0.01015625,2.554089142917199,0.7026154965440987,198.07790872876157,19.625,1.0374028626445975,599.975,0.04004672754746896,0.07815467810408305,-0.003710937500000011,0.04004672754746896
soc_v3_eg06_th028,1.1,80,0.33642578125,0.016019045678761733,0.0365234375,2.8463063067494887,0.5872655078585349,197.68153675222575,22.375,1.0345930562759234,599.9875,0.03991489024370685,0.07797251104622566,-0.04814453125000001,0.03991489024370685
soc_v3_eg06_th028,1.2,80,0.337890625,0.0168699406203407,0.164453125,2.800500656790126,0.5977500718435061,198.39353693333842,20.5,1.042520376775104,599.8875,0.040240675426378304,0.07695139463330392,-0.02587890625,0.040240675426378304
soc_v3_eg06_th028,1.3,80,0.28818359375,0.014907352489039885,0.32568359375,3.3258001737584935,0.5438582269796692,195.00982754034112,20.3125,1.0558454962061063,599.3,0.040130894210046605,0.07443861905003926,-0.05097656249999999,0.040130894210046605
soc_v3_eg06_th028,1.4,80,0.26044921875,0.0179987203140452,0.4677734375,3.8870127731849506,0.4571857214349301,194.7725167827447,20.4375,1.0695261026180864,595.475,0.039725621607785165,0.07194493039835978,-0.04062500000000002,0.039725621607785165
soc_v3_eg06_th032,1.0,80,0.3681640625,0.016900426752460975,0.009375,2.2007352539066316,0.7922730634114095,194.05431852704766,21.25,1.0370269356466575,599.9875,0.04031180954760559,0.0786561580703239,-0.011035156250000011,0.04031180954760559
soc_v3_eg06_th032,1.1,80,0.33984375,0.017659656645983655,0.0443359375,2.623424525179993,0.6880700371504445,197.88676710380875,21.5625,1.037471461167589,599.95,0.04039621817206053,0.07786959425686896,-0.04472656250000001,0.04039621817206053
soc_v3_eg06_th032,1.2,80,0.3294921875,0.016693689974867976,0.16806640625,2.726644393641384,0.5675381236588876,195.9861653482621,20.0625,1.043889947241098,599.5875,0.040686725485,0.07599285666110964,-0.03427734375000002,0.040686725485
soc_v3_eg06_th032,1.3,80,0.2912109375,0.015918286786010954,0.33330078125,3.050710209885456,0.48964396511725194,193.44979761981898,21.4375,1.0576392414842277,598.8125,0.04011065433277551,0.07459759665108505,-0.04794921875000002,0.04011065433277551
soc_v3_eg06_th032,1.4,80,0.2607421875,0.014044642290763559,0.47197265625,3.2046128118494948,0.6087067198773821,195.6297019097463,19.1875,1.07335366095074,593.4625,0.03986781000721675,0.07216782892178081,-0.04033203125000001,0.03986781000721675
soc_v3_eg06_th036,1.0,80,0.3556640625,0.016740738615117833,0.01298828125,2.8444670545330317,0.9504975255276424,197.2338220598179,22.125,1.042030928915376,599.8875,0.040468643548060027,0.07720292977493402,-0.023535156250000022,0.040468643548060027
soc_v3_eg06_th036,1.1,80,0.3529296875,0.016571007016923708,0.04365234375,2.6695110717356743,0.573214708951105,196.41854046180052,21.125,1.0394187458862238,599.9375,0.04031416892059765,0.07772413040122261,-0.03164062500000003,0.04031416892059765
soc_v3_eg06_th036,1.2,80,0.33466796875,0.01647596085252185,0.16962890625,3.060087235468562,0.8311777923059459,197.0320355702665,20.0,1.0488419756243246,599.2125,0.03991389783295384,0.0758119104443233,-0.02910156250000001,0.03991389783295384
soc_v3_eg06_th036,1.3,80,0.3013671875,0.016503704654552965,0.329296875,3.2301915348717514,0.5996187833399381,195.06376568093245,19.4375,1.0607827889888113,597.9,0.040313644265682215,0.07324266924622887,-0.03779296874999999,0.040313644265682215
soc_v3_eg06_th036,1.4,80,0.265625,0.01485001741437627,0.48828125,4.028272317673347,0.19512656054974445,196.65091510876726,21.625,1.0776837936983803,590.275,0.039925657360447696,0.07177018267308777,-0.03544921875000001,0.039925657360447696
soc_v3_eg10_th028,1.0,80,0.365234375,0.015294317725627535,0.00537109375,1.9595119463795094,1.267410225312597,195.57545730392272,17.75,1.0109028213927933,600.0,0.03621277870615254,0.08267717384091862,-0.013964843750000011,0.03621277870615254
soc_v3_eg10_th028,1.1,80,0.3771484375,0.015593339140244212,0.01708984375,1.8457411957523722,1.0753843658424302,197.3603178653694,18.5,1.011016892092052,600.0,0.03646699166776634,0.08244079308273353,-0.007421875000000022,0.03646699166776634
soc_v3_eg10_th028,1.2,80,0.34111328125,0.013892104462554403,0.11064453125,2.039205636411869,1.2851861677427692,195.60512615938885,17.9375,1.0116116217872357,600.0,0.03680679187288534,0.08165032985686374,-0.02265624999999999,0.03680679187288534
soc_v3_eg10_th028,1.3,80,0.3212890625,0.011239064842730996,0.27001953125,2.807473294090177,0.8807087583842707,195.7302413086522,17.875,1.0153613472548435,600.0,0.03700704609648367,0.07917884104599773,-0.01787109375000001,0.03700704609648367
