variant,soc_enabled,soc_entropy_gain,soc_threshold,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_branch_ratio,soc_topple_steps,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,False,,,1.0,65,0.3671875,0.0078125,1.0484016213498897,6.128491096040587,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,66,0.46875,0.0078125,0.3403046390926571,1.8933555933586652,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,67,0.3671875,0.0,1.5210706075268539,5.800345362907153,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,68,0.3125,0.0,1.1864220385064483,0.38100662717702877,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,69,0.3125,0.0,0.22561074959960659,2.9893896157672937,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,70,0.375,0.0,0.20583637598843918,5.666988276387319,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,71,0.390625,0.0,1.9004646015533675,0.5787193706740444,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,72,0.390625,0.0,0.3353961077543281,3.3769482779542606,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,73,0.4765625,0.0,1.2530239456064327,0.605462061356146,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,74,0.4453125,0.0078125,0.7639300397560069,7.441392528907118,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,75,0.421875,0.0078125,0.18269395286292484,0.12233201089742714,90.10785237009377,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,76,0.4375,0.0078125,0.5532990980059835,2.526777005411302,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,77,0.3828125,0.015625,0.4914716887595002,3.240053908886602,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,78,0.3046875,0.0078125,1.0570963620303573,6.64110777587292,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,79,0.390625,0.0,0.4483932717824794,3.1055899250181116,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,1,0.40625,0.0,0.5911627823576779,5.752870983378189,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,0,0.3046875,0.0,3.174622162637467,1.778463609712609,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,2,0.4375,0.0078125,0.6118800961278241,0.016803829712340346,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,3,0.34375,0.015625,0.6659989370427161,2.0001288459974287,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,4,0.3984375,0.0,0.24857037121457048,5.160882857408254,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,5,0.3125,0.015625,2.258072912206466,2.289296726112792,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,6,0.328125,0.0078125,0.7883329846100217,0.6834628448770403,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,7,0.40625,0.0078125,2.51925080217214,0.09955824125136155,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,8,0.40625,0.0,1.6626087842237511,4.778083340411108,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,9,0.3671875,0.0078125,1.9710902438609181,0.36809260390023807,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,11,0.421875,0.0078125,0.5077860520471783,6.109139864108941,182.15432287781644,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,10,0.3203125,0.0,1.1862904661783094,2.4157279769676405,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,13,0.3515625,0.0,0.5379122432910084,2.615606681325891,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,12,0.3984375,0.0,1.2826940448248294,0.3362000399490335,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,14,0.4140625,0.015625,3.3557803858486945,5.637837261964448,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,15,0.375,0.0234375,0.8510161262642404,1.9737632997894816,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,16,0.3515625,0.0078125,3.004179733726111,2.0593780391202166,198.99999999999983,32.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,17,0.3984375,0.0,0.35300188739171545,0.27183690069622723,123.99157639876707,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,18,0.359375,0.0078125,0.868443317197181,2.5867694488288238,149.20390632980494,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,19,0.3828125,0.0078125,1.1379581473523026,4.175316814194511,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,20,0.375,0.0,0.13332354604338575,3.6510270165063865,140.34926871945348,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,21,0.3515625,0.0078125,1.278374663563318,0.010470185532701964,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,22,0.4296875,0.0078125,1.4829103148031868,2.336797830819833,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,23,0.421875,0.0,2.4963926250061936,0.8934231454122123,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,24,0.4140625,0.0078125,0.38770330258538926,0.10087333282077024,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,25,0.3515625,0.0078125,5.387956594248408,1.5904406543825271,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,26,0.421875,0.0078125,0.49031442907823825,1.1018781186822963,130.69497583202934,27.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,27,0.40625,0.015625,3.6389083389945722,0.20272889673274544,198.99999999999983,37.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,30,0.4296875,0.015625,2.456195364537607,2.0030481262918833,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,29,0.4609375,0.0,1.8536251336145688,0.8912995400824936,198.99999999999983,32.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,28,0.3984375,0.0078125,0.6888666745048289,0.0020829161911680993,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,31,0.4765625,0.0078125,0.4311693675306707,0.31320784420274383,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,32,0.3984375,0.0,0.4331870861487048,2.235229911562391,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,33,0.4375,0.0078125,0.7107637457404383,2.050555922934026,94.38478151506627,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,34,0.3984375,0.0078125,1.3297171617911077,0.8110372053521108,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,35,0.296875,0.0,0.3464340162623004,5.191671587361477,133.7380770348494,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,36,0.375,0.015625,2.8329435384855346,1.2888811425180482,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,37,0.3984375,0.0078125,1.3643589793949646,0.5540331319496671,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,38,0.53125,0.0,0.9646795645433983,1.842032405016028,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,39,0.4609375,0.015625,1.956677992567118,3.732388177281901,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,40,0.4140625,0.0078125,2.840451991125493,2.4842813521650657,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,41,0.4453125,0.0,0.7119921341667799,2.3334222033836176,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,42,0.3984375,0.0,0.29736230096899,0.47368712323623824,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,43,0.453125,0.0,1.7552344949555243,1.8707826906904566,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,45,0.265625,0.0,2.477034932271878,1.0906318958177899,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,44,0.359375,0.0078125,0.717211761575559,0.2830293613035693,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,46,0.453125,0.0078125,4.138164892498645,2.3001615053558133,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,47,0.46875,0.0078125,0.5917808387103857,2.085144740324026,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,48,0.3125,0.0,3.258805570938701,2.1001690924557024,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,49,0.4375,0.0,0.46337826597726317,0.45139485864803824,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,50,0.2890625,0.0078125,3.0150706783129606,0.5602050749350691,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,51,0.328125,0.0078125,2.6161155630671047,3.8022064096871118,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,52,0.4140625,0.0,1.6752575176621647,3.6436368636288208,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,53,0.34375,0.0078125,1.1361301635075982,2.1232685208938054,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,54,0.3125,0.015625,3.459797051908792,1.8896776504959778,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,55,0.359375,0.0078125,2.7734925023360226,4.066904042283079,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,57,0.34375,0.0078125,2.8761022906566858,3.938669443811852,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,56,0.3359375,0.0078125,4.425665257780816,0.019015708280005688,198.99999999999983,27.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,58,0.3515625,0.0078125,2.485521796640279,2.3938100599978283,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,59,0.34375,0.0078125,0.5311220548453907,4.633855840305562,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,60,0.4140625,0.0078125,0.8948115957161972,5.517158395529904,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,61,0.390625,0.0078125,1.319422020706425,4.807307911218028,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,62,0.328125,0.0078125,1.709404556545786,4.010376303942658,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,63,0.421875,0.0,0.9712270698398542,2.0287947301098987,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,65,0.3984375,0.0,1.7156809462280982,1.9376681035789993,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,64,0.3671875,0.015625,1.091291305911748,1.3932626075042682,198.99999999999983,32.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,66,0.3359375,0.0078125,0.528629050217757,2.2854255521396367,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,67,0.3671875,0.0078125,0.4006060354781284,4.1806435595283,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,68,0.375,0.015625,0.6048364165274016,0.12541871446895925,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,69,0.3203125,0.0078125,3.2335193618152784,2.163060662489655,198.99999999999983,27.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,70,0.3671875,0.0,1.8395301276196645,2.6025204637244204,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,71,0.3828125,0.015625,0.9605354557330763,3.436887291734543,128.3206250715962,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,72,0.4609375,0.0,0.4623674281128577,3.5554926540876233,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,73,0.4375,0.0,0.5194921983245586,5.535061604979052,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,74,0.328125,0.0078125,1.1597934380323105,1.3781523964581914,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,75,0.359375,0.0078125,0.5557780799179622,3.9500406402162893,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,76,0.4453125,0.0078125,0.9041446811938929,1.7672752865236256,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,78,0.359375,0.0078125,0.1178361120114486,0.40502840145088137,93.43130279756315,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,77,0.3671875,0.0078125,0.7232297323382407,2.2803479987108233,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.1,79,0.390625,0.0,0.6529641587783892,4.342943535913091,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,0,0.3671875,0.0546875,0.6128915710486474,2.3297941597087815,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,1,0.328125,0.0234375,1.0125908650253421,3.215670588479106,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,2,0.359375,0.0234375,2.700138648545385,1.999730506630282,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,3,0.4296875,0.03125,1.8702429864663737,0.03885406391679796,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,4,0.3125,0.078125,0.7507256520663649,2.702522093440347,125.81446099748068,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,5,0.3984375,0.0390625,1.8400175808387356,0.06799661473370455,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,6,0.2890625,0.0546875,2.022602612291186,5.502262116123707,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,7,0.4375,0.0546875,0.7681084358929671,0.011624851560263926,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,8,0.296875,0.046875,0.4438118863516761,2.791071541730032,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,9,0.359375,0.0703125,1.6394971868923216,1.168239209004668,198.99999999999983,27.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,10,0.4140625,0.0078125,4.672005027284901,2.492722002476931,198.99999999999983,27.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,11,0.359375,0.0390625,0.6009203148903173,3.411775156711132,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,12,0.328125,0.0546875,1.1488159670117466,2.840585858113934,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,13,0.375,0.0546875,1.4888326899435678,2.9875662641197422,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,14,0.28125,0.0390625,1.3145691217153106,5.450533987419643,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,15,0.390625,0.1015625,1.737477455475718,1.6624390951656571,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,16,0.4296875,0.0546875,0.6574003032661041,0.8717728538411089,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,17,0.3203125,0.03125,0.7344617822822228,1.3144124429355335,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,19,0.3828125,0.046875,2.226264288836489,1.5559633358902973,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,20,0.3203125,0.0390625,0.8763427817496057,6.526679946323453,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,18,0.1953125,0.046875,3.182592797953487,0.8438577930168562,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,21,0.4375,0.0234375,1.4680543878678753,3.189308082130696,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,22,0.328125,0.078125,1.1808496240180342,2.3852129843610412,198.99999999999983,27.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,23,0.3671875,0.046875,1.8138505661280575,3.8173434094951433,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,24,0.3671875,0.046875,0.824150111711178,5.597534617580665,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,25,0.296875,0.0625,0.870926832764027,1.6523129642571028,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,26,0.375,0.0546875,1.1604193876554083,5.176597980293067,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,27,0.5390625,0.0703125,1.979384655630699,0.2900834457819228,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,28,0.421875,0.0546875,0.9844410519412404,2.5934713618469662,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,29,0.3515625,0.0390625,1.1189584861000104,1.002070791157377,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,30,0.3125,0.0703125,0.7753332668721474,3.084101022234197,141.01425501812804,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,31,0.3359375,0.046875,0.8992438662402619,2.469605531019243,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,32,0.421875,0.0390625,0.4863482317432358,2.5367300771353163,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,33,0.390625,0.046875,2.026178813027718,2.1901170417664764,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.2,34,0.4140625,0.0546875,3.0491806414143046,3.3497709303419723,198.99999999999983,12.5,0.0,0.0,0.0,0.0
