speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95,P_local_mean,P_local_mean_ci95,P_local_var,P_local_var_ci95,chi_local_mean,chi_local_ci95
1.0,0.65,50,0.38296875,0.028168647381663536,0.0034375,0.0015871062503814925,0.4597766397778016,0.03995137836251196,0.03845866643067009,0.008048644765180269,4.922709303125772,1.0302265299430744,21.2,2.9207368933199027,13.54,0.7579884959549189,0.9936736006682914,0.0029805885780708136,0.0014024183652435842,0.0011699640288405345,0.17950955075117878,0.1497553956915884
1.0,0.7,50,0.38078125,0.029065973582739317,0.003125,0.0015774286830154954,0.47411373885391433,0.04353623954313724,0.03311252922061879,0.005215896317044973,4.238403740239205,0.6676347285817565,25.2,3.2437731116710364,13.94,0.8790573132623377,0.9956122438746108,0.003320808029654434,0.0014591496988823824,0.0019947622599262786,0.18677116145694495,0.25532956927056366
1.0,0.75,50,0.37125,0.022011250674371048,0.0034375,0.0017034432042190312,0.45082327657978544,0.04080378154726821,0.03235579099443819,0.004652215767296559,4.141541247288088,0.5954836182139596,22.4,2.7646366849913573,13.24,0.903944777074352,0.9937320823371469,0.0024682251360842898,0.000997807513160241,0.0008648904353503144,0.12771936168451084,0.11070597572484024
1.0,0.8,50,0.3678125,0.026416596345858034,0.00359375,0.0015901184114712969,0.47116567312637186,0.035800379832261454,0.03756228166680222,0.00640945031263772,4.807972053350684,0.8204096400176282,21.6,1.9935134812686868,13.6,0.7513188404399294,0.9963879926476439,0.0016169367199281091,0.0005568025858609048,0.000555876224012985,0.07127073099019582,0.07115215667366208
1.0,0.85,50,0.35359375,0.027724558297879152,0.00375,0.001591922972382772,0.4545655786339236,0.04024382435898364,0.03635391478873196,0.0061783023182416,4.653301092957691,0.7908226967349248,22.9,2.726803256562526,12.52,0.8385801333206029,0.9907514760763881,0.005458171018840329,0.002516692255669276,0.0022622438999265995,0.32213660872566735,0.28956721919060474
1.0,0.9,50,0.37703125,0.02540443874232414,0.0034375,0.001646302675694843,0.4740746775915965,0.04158887553774307,0.037901392573554335,0.006455783682841964,4.851378249414955,0.8263403114037714,21.6,2.051656891392905,12.18,0.685148042396678,0.9939329805552368,0.004289101752419303,0.001065334778539104,0.0012101686694538823,0.13636285165300532,0.15490158969009693
1.0,0.95,50,0.3840625,0.02668161820429938,0.00484375,0.001688205870887789,0.4867574140101442,0.03971534797826509,0.04001143472516948,0.005977253517952622,5.121463644821693,0.7650884502979356,22.3,2.771292839091531,11.98,0.7027721110004295,0.9941459604438809,0.0026511296983081937,0.0012231609056340099,0.0009436884002562902,0.15656459592115327,0.12079211523280514
1.0,1.0,50,0.3903125,0.030811805266001538,0.0040625,0.001591922972382772,0.4865136822587982,0.03763438823973425,0.03975106303677363,0.006648685637008962,5.0881360687070245,0.8510317615371471,24.7,2.8713313984979165,11.88,0.6963842617405996,0.9961326631917138,0.0023495382654712856,0.0005405292764870423,0.0004174680276189632,0.06918774739034142,0.05343590753522729
1.05,0.0,50,0.34375,0.010796592344346432,0.08203125,0.003310288176654715,0.10255422875426518,0.008103790009336446,0.0018164478842579942,0.00045799423903168624,0.23250532918502326,0.05862326259605584,5.15,1.7169845660343017,65.7,1.3833813646279902,0.9277174595986163,0.009761394837533285,0.0401989165792678,0.006503325496879379,5.145461322146279,0.8324256636005605
1.05,0.05,50,0.3446875,0.0137700649054389,0.08015625,0.0030250839347859423,0.25721962302705903,0.026396337378409077,0.0128873643030489,0.002762667499235132,1.6495826307902592,0.3536214399020969,14.05,2.321172979336094,56.28,1.439799097096536,0.9579296274312818,0.007649737392084311,0.019485213401887885,0.004706989562754536,2.4941073154416493,0.6024946640325806
1.05,0.1,50,0.37078125,0.013457730410901387,0.07703125,0.0034451562464567556,0.3677149808801555,0.032147566392882874,0.03026653291839955,0.005105177218381618,3.8741162135551424,0.6534626839528471,17.9,2.03535156668326,38.64,1.4589692800055798,0.9778171234508748,0.005355864682384757,0.00853626326568856,0.002964503900076524,1.0926416980081357,0.3794564992097951
1.05,0.15,50,0.348125,0.017675,0.075,0.003444878444880167,0.4167585291019587,0.04221838800392121,0.03353116168843698,0.005322456679991102,4.291988696119933,0.6812744550388611,21.5,2.3593219364893807,30.9,1.250004799990784,0.9821068008917466,0.005171258388802484,0.005753488014816426,0.0023200578326390666,0.7364464658965025,0.2969674025778005
1.05,0.2,50,0.3665625,0.019657532748287614,0.07453125,0.0040856503842717625,0.4392027851133647,0.036458707318289076,0.03224693907808182,0.0048447524824303655,4.127608201994473,0.6201283177510868,20.1,1.79811456809626,24.66,1.2454304316179206,0.9876191319133912,0.004175846517119105,0.003132119171292757,0.0016349561779931542,0.4009112539254729,0.20927439078312374
1.05,0.25,50,0.36109375,0.019781048577173554,0.0709375,0.004238108363409317,0.4507989069995444,0.03962216804186895,0.035469452736882415,0.005929999861051475,4.540089950320949,0.7590399822145888,22.8,2.5724976190465174,20.82,1.160822053546537,0.984800788674025,0.005261010318865266,0.004670088071385398,0.002267650623874927,0.5977712731373309,0.29025927985599065
