speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95
1.05,0.05,15,0.34479166666666666,0.029278016615618695,0.078125,0.007166636385594942,0.21409983835173466,0.03521764753773225,0.006705000173460405,0.0024507557376156125,0.8582400222029318,0.3136967344147984
1.05,0.1,15,0.3380208333333333,0.0318568235212036,0.0734375,0.0066494243171871656,0.37606159652855303,0.07975271070991086,0.019373581646767533,0.005742626953039751,2.479818450786244,0.7350562499890881
1.05,0.15,15,0.36666666666666664,0.03339678855984675,0.0734375,0.006815270843236288,0.4546185552102003,0.05209050413797353,0.026658011936126994,0.006647502087398351,3.4122255278242553,0.850880267186989
1.05,0.2,15,0.3651041666666667,0.02872361409962967,0.07239583333333334,0.004348181692130375,0.4396290303492375,0.07760476875029504,0.024726055082021803,0.008054467438562167,3.1649350504987908,1.0309718321359573
1.05,0.25,15,0.35885416666666664,0.027370084540932236,0.06979166666666667,0.007238976293494666,0.4335897642175339,0.04747712749988307,0.025377897849541017,0.006206278497616349,3.24837092474125,0.7944036476948927
1.05,0.3,15,0.33177083333333335,0.03753360184369615,0.071875,0.006197487730255435,0.4677744526596493,0.0678966317821278,0.0292410634761086,0.00758555205325275,3.742856124941901,0.970950662816352
1.05,0.35,15,0.37604166666666666,0.03040056651518923,0.06875,0.006197487730255435,0.46726588558156185,0.05300520292707286,0.03441863211690495,0.010002130356859184,4.405584910963833,1.2802726856779756
1.05,0.4,15,0.346875,0.03972827629661272,0.06770833333333333,0.007860132570623587,0.4424538168114916,0.057309783439858306,0.03295368728518974,0.010809507716894328,4.218071972504287,1.383616987762474
1.05,0.45,15,0.3963541666666667,0.059313842772530295,0.071875,0.004772561550153125,0.430147946394645,0.06229061797844123,0.028600238205454664,0.007974114210643497,3.660830490298197,1.0206866189623676
1.05,0.5,15,0.39739583333333334,0.04677727776685789,0.07083333333333333,0.005276265316911617,0.4301293105835931,0.05565145466964875,0.030255199655206778,0.009149737119212346,3.8726655558664675,1.1711663512591803
1.05,0.55,15,0.37864583333333335,0.057388890989700944,0.0671875,0.005748867642124548,0.4537511622222756,0.07049548898802943,0.029269975613956164,0.006880920511696466,3.746556878586389,0.8807578254971477
1.05,0.6,15,0.371875,0.03986855028820754,0.07395833333333333,0.005564645341598848,0.4352568433205992,0.08328483669751806,0.03236458743640181,0.009301235854309031,4.142667191859432,1.190558189351556
1.05,0.65,15,0.375,0.040375032249729124,0.06614583333333333,0.005761800993998702,0.4373528730763175,0.08347421215242476,0.03061809372610728,0.009633944883940915,3.919115996941732,1.2331449451444372
1.05,0.7,15,0.346875,0.049602416670796734,0.07708333333333334,0.005147730756794147,0.45138106413110246,0.061908606804420625,0.038956949003189204,0.01028025171621854,4.986489472408218,1.3158722196759731
1.05,0.75,15,0.3359375,0.05107082500475851,0.07604166666666666,0.005683759453722314,0.4703902297732356,0.072187771513571,0.03731367291391829,0.01070933666118625,4.776150132981541,1.37079509263184
1.05,0.8,15,0.3463541666666667,0.0490106325269777,0.07239583333333334,0.0058769204898862165,0.47321968892442506,0.08218931619293894,0.03399963709008127,0.01063942992896558,4.351953547530402,1.3618470309075943
1.05,0.85,15,0.32395833333333335,0.06719356884735656,0.07291666666666667,0.008000922255868034,0.43040935620761045,0.059664544792370315,0.02515532929375241,0.005500009103266827,3.2198821496003083,0.7040011652181538
1.05,0.9,15,0.3515625,0.059586793314458535,0.0703125,0.006847958181093104,0.46481496599699657,0.07255445157107811,0.03430313504540164,0.01420898490874566,4.39080128581141,1.8187500683194444
