gain,seed,delta_safe,varh,safe_soc,safe_base
0.0,117,-0.15625,0.037153839416406646,0.1640625,0.3203125
0.0,118,-0.0546875,0.03807269984287234,0.28125,0.3359375
0.0,119,-0.3203125,0.037679069276470155,0.0703125,0.390625
0.25,4,-0.171875,0.04107257046162669,0.1953125,0.3671875
0.25,2,-0.1015625,0.03851778317720874,0.203125,0.3046875
0.25,3,-0.0859375,0.040327162328173426,0.1953125,0.28125
0.25,6,-0.03125,0.03816793779057658,0.3125,0.34375
0.25,7,-0.09375,0.03619530043343122,0.1640625,0.2578125
0.25,5,-0.25,0.03978728825406152,0.140625,0.390625
0.25,1,-0.3046875,0.03557893255894036,0.1171875,0.421875
0.25,0,-0.140625,0.03747931094471242,0.2265625,0.3671875
0.25,9,-0.09375,0.038389548908832935,0.2734375,0.3671875
0.25,8,-0.1796875,0.04200029505424213,0.1328125,0.3125
0.25,10,-0.109375,0.0385280283062553,0.171875,0.28125
0.25,15,-0.2109375,0.03801536912625426,0.21875,0.4296875
0.25,12,-0.1796875,0.038240185834969034,0.1796875,0.359375
0.25,11,-0.09375,0.0402667005034334,0.2265625,0.3203125
0.25,13,-0.203125,0.03988728724799452,0.1953125,0.3984375
0.25,14,-0.265625,0.03551557911933312,0.1640625,0.4296875
0.25,17,-0.3125,0.03575020343925055,0.1015625,0.4140625
0.25,16,-0.125,0.033548336756198525,0.21875,0.34375
0.25,19,-0.21875,0.04193502694720926,0.0546875,0.2734375
0.25,18,-0.1328125,0.038191701074829075,0.125,0.2578125
0.25,20,-0.2109375,0.03391685880229344,0.1640625,0.375
0.25,21,-0.1328125,0.03573759608227109,0.234375,0.3671875
0.25,22,-0.2109375,0.03735702339019618,0.1484375,0.359375
0.25,23,-0.15625,0.03888057322794052,0.1875,0.34375
0.25,24,-0.1015625,0.037060167788783065,0.2109375,0.3125
0.25,25,-0.171875,0.040609732107481145,0.109375,0.28125
0.25,27,-0.203125,0.03883067083374133,0.21875,0.421875
0.25,28,-0.1328125,0.03867852220449646,0.2109375,0.34375
0.25,26,-0.0703125,0.038737348525892,0.1875,0.2578125
0.25,29,-0.109375,0.039240852627398626,0.2421875,0.3515625
0.25,30,-0.046875,0.040025805098049844,0.2421875,0.2890625
0.25,31,-0.09375,0.03940199488633323,0.15625,0.25
0.25,32,0.0078125,0.03894297736923562,0.2578125,0.25
0.25,37,0.0859375,0.03686857339829415,0.296875,0.2109375
0.25,36,-0.1328125,0.038424845128604994,0.21875,0.3515625
0.25,34,-0.1484375,0.03767185834660533,0.265625,0.4140625
0.25,35,-0.234375,0.04131323363929221,0.0859375,0.3203125
0.25,33,-0.1015625,0.03610660214680703,0.2265625,0.328125
0.25,38,-0.0234375,0.031310905226341126,0.2578125,0.28125
0.25,39,-0.125,0.03990279144400567,0.1953125,0.3203125
0.25,40,-0.171875,0.03689245994616513,0.1328125,0.3046875
0.25,43,-0.265625,0.03734272922310715,0.171875,0.4375
0.25,42,-0.15625,0.03616190522965099,0.203125,0.359375
0.25,41,-0.1640625,0.036336314022193526,0.25,0.4140625
0.25,44,-0.15625,0.03774025055033313,0.21875,0.375
0.25,45,-0.1328125,0.03663175188468961,0.2421875,0.375
0.25,46,-0.1015625,0.03589405146713586,0.1953125,0.296875
0.25,47,-0.078125,0.036043051281311175,0.25,0.328125
0.25,48,-0.1328125,0.0375086159727604,0.203125,0.3359375
0.25,52,-0.171875,0.04233868319202079,0.25,0.421875
0.25,49,-0.1875,0.039714476239298406,0.1171875,0.3046875
0.25,53,-0.203125,0.03875877606009814,0.1484375,0.3515625
0.25,50,-0.0078125,0.038273822914844546,0.2578125,0.265625
0.25,51,-0.2109375,0.03657514801031772,0.140625,0.3515625
0.25,54,-0.1328125,0.03421245822737906,0.15625,0.2890625
0.25,55,-0.1796875,0.03796219419838028,0.125,0.3046875
0.25,56,-0.15625,0.03856601514507923,0.1875,0.34375
0.25,57,-0.1328125,0.03600303076523782,0.1953125,0.328125
0.25,59,-0.0859375,0.035639177914232496,0.1875,0.2734375
0.25,61,-0.2109375,0.039788034544526805,0.1328125,0.34375
0.25,58,-0.1015625,0.036832045361545385,0.15625,0.2578125
0.25,60,-0.140625,0.03954013572828964,0.203125,0.34375
0.25,62,-0.1796875,0.0395990586603826,0.1484375,0.328125
0.25,63,-0.109375,0.03521337094341638,0.203125,0.3125
0.25,64,-0.265625,0.036979822715827844,0.140625,0.40625
0.25,65,-0.2265625,0.039881365941440795,0.15625,0.3828125
0.25,66,-0.1015625,0.03900632136404815,0.1796875,0.28125
0.25,67,-0.21875,0.040127605303684415,0.171875,0.390625
0.25,68,-0.28125,0.03300688581945103,0.1171875,0.3984375
0.25,69,-0.171875,0.03771775045437914,0.234375,0.40625
0.25,70,-0.1875,0.039054508149895625,0.234375,0.421875
0.25,72,-0.1171875,0.038602950977813695,0.2578125,0.375
0.25,71,-0.2734375,0.03743493167848356,0.078125,0.3515625
0.25,73,-0.171875,0.03601344358044253,0.2109375,0.3828125
0.25,75,-0.0625,0.03806513510427806,0.3046875,0.3671875
0.25,74,-0.1328125,0.038520517180390734,0.1796875,0.3125
0.25,76,-0.1875,0.0397108534140749,0.15625,0.34375
0.25,77,-0.1875,0.03503145494766187,0.171875,0.359375
0.25,78,-0.1640625,0.04073231028125976,0.1484375,0.3125
0.25,79,-0.0703125,0.039855469784051835,0.28125,0.3515625
0.25,80,0.0078125,0.0379566248008358,0.2734375,0.265625
0.25,82,-0.1015625,0.037139531411502495,0.265625,0.3671875
0.25,83,-0.1953125,0.037730317638335314,0.25,0.4453125
0.25,81,-0.1796875,0.038567690619062865,0.2109375,0.390625
0.25,84,-0.1796875,0.03682863420651221,0.125,0.3046875
0.25,85,-0.1015625,0.03928832465313936,0.2265625,0.328125
0.25,86,-0.09375,0.03905814389588129,0.234375,0.328125
0.25,87,-0.1875,0.037205213598985196,0.1328125,0.3203125
0.25,88,-0.203125,0.03826561519671875,0.1640625,0.3671875
0.25,90,-0.0546875,0.03856784490221478,0.2890625,0.34375
0.25,91,-0.0078125,0.03841261923670625,0.3515625,0.359375
0.25,89,-0.2109375,0.03786542182574152,0.0703125,0.28125
0.25,92,-0.109375,0.041505851556772354,0.234375,0.34375
0.25,94,-0.1953125,0.03777707342052074,0.171875,0.3671875
0.25,93,-0.171875,0.038900874018593136,0.203125,0.375
0.25,95,-0.234375,0.0374009121599775,0.125,0.359375
0.25,96,-0.3359375,0.03842714268077318,0.125,0.4609375
0.25,97,-0.1015625,0.034825031052022254,0.203125,0.3046875
0.25,98,-0.15625,0.03521466208222439,0.2578125,0.4140625
0.25,100,-0.2421875,0.03736149150710603,0.1796875,0.421875
0.25,101,-0.2265625,0.0340346870106323,0.1015625,0.328125
0.25,99,-0.3359375,0.0388575584466023,0.0859375,0.421875
0.25,102,-0.1875,0.04019328438732341,0.140625,0.328125
0.25,103,-0.1796875,0.03889207731219447,0.1640625,0.34375
0.25,104,-0.15625,0.043008510938330635,0.140625,0.296875
0.25,106,-0.1484375,0.037147698447300384,0.1875,0.3359375
0.25,105,-0.0625,0.03587985302241781,0.25,0.3125
0.25,107,-0.1328125,0.03907448388514588,0.2265625,0.359375
0.25,109,-0.203125,0.039564946718254806,0.1640625,0.3671875
0.25,108,-0.140625,0.039454933420298356,0.203125,0.34375
0.25,110,-0.046875,0.03509978290392277,0.2890625,0.3359375
0.25,111,-0.1640625,0.039781239659391926,0.2421875,0.40625
0.25,112,-0.1484375,0.03764536648116492,0.1484375,0.296875
0.25,113,-0.21875,0.03791459692528398,0.109375,0.328125
0.25,114,-0.09375,0.037494636260476284,0.265625,0.359375
0.25,116,-0.203125,0.037897269906772134,0.1953125,0.3984375
0.25,117,-0.2265625,0.038796967349368765,0.1484375,0.375
0.25,115,-0.1171875,0.03665855937109709,0.15625,0.2734375
0.25,118,-0.1875,0.03824400476481609,0.171875,0.359375
0.25,119,-0.2109375,0.04021012134616309,0.1484375,0.359375
0.5,3,-0.078125,0.043384557460339805,0.2265625,0.3046875
0.5,6,-0.0703125,0.036351135562851966,0.2578125,0.328125
0.5,4,-0.15625,0.03525789205130651,0.296875,0.453125
0.5,0,-0.15625,0.039702218889359694,0.1640625,0.3203125
0.5,2,-0.2578125,0.04264990206026036,0.1328125,0.390625
0.5,1,-0.15625,0.03935259891133611,0.15625,0.3125
0.5,5,-0.125,0.03923296234297969,0.1796875,0.3046875
0.5,7,-0.1953125,0.034175698832394644,0.1796875,0.375
0.5,9,-0.15625,0.042197779939006794,0.2421875,0.3984375
0.5,14,-0.1640625,0.03710935854276993,0.109375,0.2734375
0.5,12,-0.109375,0.034136922003222984,0.234375,0.34375
0.5,10,-0.0859375,0.03676564529821167,0.2890625,0.375
0.5,13,-0.0078125,0.03516454610137421,0.3125,0.3203125
0.5,11,-0.0703125,0.037987368828439935,0.203125,0.2734375
0.5,8,-0.171875,0.03533925191112324,0.15625,0.328125
0.5,15,-0.1015625,0.04074975296807736,0.25,0.3515625
0.5,16,-0.0703125,0.03739325007290834,0.265625,0.3359375
0.5,17,-0.1328125,0.040470081766618995,0.203125,0.3359375
0.5,18,-0.1796875,0.03547843923232437,0.171875,0.3515625
0.5,19,-0.1484375,0.03625377978473722,0.1875,0.3359375
0.5,21,0.0859375,0.03578631894947987,0.3515625,0.265625
0.5,22,-0.1640625,0.03453889910224589,0.171875,0.3359375
0.5,20,-0.1015625,0.03851925643490523,0.2421875,0.34375
0.5,23,-0.1796875,0.03818137841558879,0.1875,0.3671875
0.5,24,-0.171875,0.037660270983655986,0.2578125,0.4296875
0.5,27,-0.1015625,0.0366506459941907,0.21875,0.3203125
0.5,26,0.0625,0.039222255728707814,0.328125,0.265625
0.5,25,-0.09375,0.03540185074612649,0.234375,0.328125
0.5,28,-0.1796875,0.039693658358508355,0.21875,0.3984375
0.5,31,-0.1640625,0.03751844386480915,0.1484375,0.3125
0.5,29,-0.140625,0.037115933818627066,0.1484375,0.2890625
0.5,30,-0.1171875,0.04167980642583109,0.140625,0.2578125
0.5,32,-0.1484375,0.04082689543838643,0.1640625,0.3125
0.5,35,-0.1484375,0.04278779801881017,0.1328125,0.28125
0.5,34,-0.0625,0.03382241556945326,0.2578125,0.3203125
0.5,37,-0.0625,0.03714710768360838,0.2421875,0.3046875
0.5,33,-0.1875,0.039057540524438925,0.1328125,0.3203125
0.5,36,-0.1328125,0.03470774069709202,0.234375,0.3671875
0.5,38,-0.1796875,0.03918681973788179,0.1796875,0.359375
0.5,39,-0.0546875,0.03741322976703721,0.3203125,0.375
0.5,40,0.0,0.03506913790155403,0.3046875,0.3046875
0.5,42,-0.0625,0.04135207399167696,0.265625,0.328125
0.5,41,-0.1328125,0.03575652566745923,0.203125,0.3359375
0.5,43,-0.234375,0.03660588866958725,0.109375,0.34375
0.5,44,-0.140625,0.04075436224078426,0.1796875,0.3203125
0.5,45,-0.1484375,0.037444980262047074,0.1953125,0.34375
0.5,46,-0.1796875,0.03903704951809628,0.15625,0.3359375
0.5,47,-0.1953125,0.038953185441309934,0.1015625,0.296875
0.5,48,-0.15625,0.038373952853365784,0.2109375,0.3671875
0.5,52,-0.234375,0.04134412769574582,0.171875,0.40625
0.5,53,-0.1328125,0.03815996404552783,0.2109375,0.34375
0.5,49,-0.1640625,0.038846917060230024,0.125,0.2890625
0.5,51,-0.1015625,0.03767591985803781,0.203125,0.3046875
0.5,50,-0.1953125,0.03706601446696163,0.0703125,0.265625
0.5,55,-0.1640625,0.04216316666098643,0.1484375,0.3125
0.5,54,-0.1328125,0.036803288630878686,0.203125,0.3359375
0.5,56,-0.0703125,0.03992739285438295,0.2109375,0.28125
0.5,57,-0.09375,0.03597629574704471,0.1484375,0.2421875
0.5,59,-0.1875,0.034573903949878484,0.1875,0.375
0.5,58,-0.1796875,0.040052466587691536,0.125,0.3046875
0.5,60,0.046875,0.034506847642978865,0.359375,0.3125
0.5,61,-0.1015625,0.03945442457093045,0.1953125,0.296875
0.5,63,-0.1875,0.037374067538003465,0.1796875,0.3671875
0.5,62,-0.2109375,0.04050880543207272,0.1796875,0.390625
0.5,64,-0.109375,0.034673566359701105,0.203125,0.3125
0.5,65,-0.2109375,0.038625694316352294,0.140625,0.3515625
0.5,66,-0.1640625,0.03461669399385489,0.1875,0.3515625
0.5,67,-0.03125,0.03901519113596194,0.234375,0.265625
0.5,68,-0.0546875,0.03788382598856071,0.2109375,0.265625
0.5,69,-0.140625,0.04191140850211503,0.1484375,0.2890625
0.5,71,-0.1796875,0.03860678264132486,0.171875,0.3515625
0.5,70,-0.140625,0.039497112211790725,0.21875,0.359375
0.5,72,-0.09375,0.03963872038031256,0.2734375,0.3671875
0.5,75,-0.15625,0.03894950307098017,0.203125,0.359375
0.5,74,-0.1328125,0.040863610752703054,0.15625,0.2890625
0.5,73,-0.1796875,0.03999732399767697,0.171875,0.3515625
0.5,76,-0.1328125,0.03734806356412659,0.1796875,0.3125
0.5,79,-0.1171875,0.03924586836996246,0.234375,0.3515625
0.5,77,-0.1796875,0.03552184790132396,0.1875,0.3671875
0.5,78,-0.1328125,0.038009910200604,0.1171875,0.25
0.5,80,-0.15625,0.03850744787843715,0.21875,0.375
0.5,83,0.0078125,0.04402245448090154,0.2734375,0.265625
0.5,82,-0.2734375,0.03703053365319489,0.171875,0.4453125
0.5,84,-0.203125,0.03754986577466488,0.15625,0.359375
0.5,81,-0.1640625,0.03734769434201782,0.1328125,0.296875
0.5,86,-0.21875,0.03867592872162772,0.1796875,0.3984375
0.5,85,-0.015625,0.03280642640973204,0.265625,0.28125
0.5,87,-0.0703125,0.04063469501286499,0.1875,0.2578125
0.5,88,-0.171875,0.03675932983175004,0.171875,0.34375
0.5,89,-0.09375,0.037827288652825836,0.2109375,0.3046875
0.5,92,-0.125,0.03443048539714923,0.1875,0.3125
0.5,90,-0.078125,0.03606565184929946,0.2265625,0.3046875
0.5,91,-0.2109375,0.03834492562669991,0.1875,0.3984375
0.5,93,-0.1953125,0.036022577023340926,0.1484375,0.34375
0.5,95,0.0390625,0.03544859234762529,0.328125,0.2890625
0.5,94,-0.2421875,0.0352354802299167,0.140625,0.3828125
0.5,96,-0.0078125,0.03856575558402681,0.40625,0.4140625
0.5,97,-0.2109375,0.03826717667766878,0.140625,0.3515625
0.5,100,-0.234375,0.035402918900370256,0.125,0.359375
0.5,99,-0.21875,0.036213797438864374,0.109375,0.328125
0.5,98,-0.1640625,0.03701506566497927,0.1796875,0.34375
0.5,101,-0.3046875,0.037968550667861416,0.1171875,0.421875
0.5,102,-0.1796875,0.04085456477207459,0.1640625,0.34375
0.5,103,-0.28125,0.03693528172623945,0.1953125,0.4765625
0.5,104,-0.140625,0.03605839413431474,0.2109375,0.3515625
0.5,105,-0.015625,0.03855856139162862,0.2734375,0.2890625
0.5,106,-0.140625,0.03820986904229037,0.1953125,0.3359375
0.5,108,-0.09375,0.04037441414479092,0.25,0.34375
0.5,107,-0.0703125,0.0402134158728801,0.2578125,0.328125
0.5,109,-0.1875,0.03663916704847959,0.15625,0.34375
0.5,111,-0.078125,0.038634044714058055,0.2265625,0.3046875
0.5,110,-0.15625,0.035952367293666875,0.1640625,0.3203125
0.5,112,0.015625,0.03342833211824946,0.2421875,0.2265625
0.5,113,-0.0859375,0.03675481915438355,0.265625,0.3515625
0.5,116,-0.2265625,0.04020978884766104,0.15625,0.3828125
0.5,115,-0.1015625,0.03852615613225426,0.1640625,0.265625
0.5,114,-0.1875,0.03501159572852486,0.1953125,0.3828125
0.5,118,-0.1953125,0.03604521650711975,0.1796875,0.375
