variant,gain,config,sweep_dir,seed,speed_ratio,w_align,safe_frac,chi,chi_local,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,57,1.3,0.15,0.2734375,0.1108602029072074,1.9668995439038415,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,56,1.3,0.15,0.3359375,1.0833663307593542,0.114625232418681,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,59,1.3,0.15,0.359375,1.850106615603061,0.4908367673038245,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,60,1.3,0.15,0.359375,0.4335089082058453,0.22475975713861526,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,58,1.3,0.15,0.40625,0.39961129217759933,1.5656066673792441,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,61,1.3,0.15,0.3671875,0.5321340925612026,0.19752929922637305,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,62,1.3,0.15,0.1796875,0.8759953283638068,0.6513174281792912,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,63,1.3,0.15,0.359375,3.302072182804275,0.34132217711003215,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,64,1.3,0.15,0.3671875,0.52188461076778,2.2945685062306556,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,65,1.3,0.15,0.390625,2.1935362182558795,2.487711911793581,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,66,1.3,0.15,0.265625,0.3219644396332291,1.6585423575089366,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,68,1.3,0.15,0.3515625,1.7089568646431745,5.144004339422925,0.0,0.0
baseline,0.0,configs/soc_varh_predability_20260208/baseline_g0.toml,E:\project\ChaseCrit\runs\soc_varh_predability_20260208\baseline_g0\sweep_20260208_095315_grid,67,1.3,0.15,0.3046875,3.0400011359316297,0.18234178848777274,0.0,0.0
